Crime Type,Date of Initial Criminal Activity,Date Charges Filed,Dollars Involved
Insider Trading,3/18/12 1:20,10/23/13 22:23,9487865
Ponzi Scheme,10/19/10 0:57,1/1/14 15:59,6285306
Embezzlement,4/19/10 17:28,3/10/14 12:03,2902911
Ponzi Scheme,12/23/07 2:53,1/19/10 14:53,8291581
Securities Fraud,8/9/08 18:20,1/28/12 15:55,665045
Securities Fraud,4/4/13 7:19,6/28/13 12:40,9336580
Securities Fraud,12/27/12 21:21,10/10/14 19:29,5853250
Securities Fraud,10/12/13 0:29,7/1/15 11:57,8033204
Securities Fraud,8/24/12 6:57,12/11/15 8:58,930845
Embezzlement,7/7/08 17:42,10/2/12 8:49,4799264
Embezzlement,5/19/14 10:00,11/22/18 10:37,2690447
Embezzlement,12/12/10 15:31,3/21/13 13:21,7625276
Embezzlement,11/22/12 11:20,7/9/17 14:08,3098482
Ponzi Scheme,1/14/08 9:43,4/23/09 13:58,9111408
Ponzi Scheme,12/30/10 16:56,9/29/13 5:27,7356836
Insider Trading,5/10/11 9:43,6/25/15 22:21,6589207
Insider Trading,5/1/11 23:28,1/22/13 11:34,6880677
Embezzlement,11/2/10 5:30,12/4/14 15:57,2631215
Insider Trading,12/2/10 19:30,10/15/13 16:42,7116730
Embezzlement,5/15/08 23:11,5/22/08 3:00,4531693
Embezzlement,9/23/08 7:20,2/24/10 23:29,3458587
Ponzi Scheme,7/17/09 17:27,9/14/12 6:33,5380115
Ponzi Scheme,9/1/13 16:32,12/4/13 21:46,4858545
Embezzlement,2/10/08 13:23,5/23/13 16:02,4563212
Ponzi Scheme,6/4/14 2:16,8/11/19 17:45,3860848
Ponzi Scheme,9/24/14 23:29,7/19/15 2:27,3384020
Insider Trading,7/21/10 16:47,6/19/15 17:50,6457989
Ponzi Scheme,9/13/11 17:28,4/1/16 17:40,8318293
Insider Trading,11/9/12 16:36,1/24/15 1:43,1233735
Ponzi Scheme,9/27/14 9:26,9/22/18 0:32,9911932
Embezzlement,11/18/10 3:56,9/16/11 7:59,8770318
Insider Trading,12/25/06 8:02,11/16/10 3:08,2322018
Securities Fraud,11/28/10 20:29,12/10/10 17:09,9784362
Insider Trading,8/26/12 16:01,4/20/14 22:52,3323053
Securities Fraud,9/18/10 10:00,8/12/14 2:53,4361417
Securities Fraud,5/8/14 10:58,7/12/18 20:50,7185429
Insider Trading,11/21/14 5:48,9/7/16 1:49,1852655
Securities Fraud,7/26/08 1:09,4/12/11 9:27,3782747
Embezzlement,8/7/13 2:09,12/24/18 13:29,7187600
Securities Fraud,12/19/11 18:57,9/23/13 10:17,3993840
Ponzi Scheme,8/26/07 13:53,6/16/08 13:42,4254520
Ponzi Scheme,12/12/13 19:24,12/12/16 7:30,3250569
Insider Trading,7/25/08 21:43,5/10/13 3:02,2495096
Securities Fraud,4/17/11 10:30,1/1/15 17:12,6513017
Securities Fraud,12/16/13 11:12,2/28/18 6:30,118311
Embezzlement,1/26/11 2:56,9/10/13 16:25,8439175
Embezzlement,12/22/08 12:10,10/14/10 18:12,5615876
Securities Fraud,11/14/12 19:12,6/5/16 5:39,852415
Insider Trading,5/21/13 4:18,12/23/14 11:49,3102860
Ponzi Scheme,12/29/07 5:22,9/7/09 21:40,2509769
Embezzlement,1/4/10 20:26,11/24/10 10:52,735130
Insider Trading,1/14/07 11:42,7/27/07 7:28,4396433
Securities Fraud,11/30/14 9:44,5/30/17 8:42,7413047
Embezzlement,2/28/10 4:47,12/11/13 11:23,9411984
Securities Fraud,11/22/14 17:08,6/25/18 4:58,9334350
Embezzlement,3/28/09 4:43,9/26/12 0:07,531759
Insider Trading,4/18/07 6:08,8/2/07 5:01,833865
Insider Trading,4/11/10 18:10,1/31/11 22:02,113328
Ponzi Scheme,8/15/14 0:51,5/30/18 5:12,8380717
Securities Fraud,8/10/10 4:23,9/20/13 2:08,3911895
Securities Fraud,3/31/09 2:33,11/22/09 21:54,6380204
Embezzlement,2/23/13 21:00,9/30/16 23:08,7772803
Securities Fraud,12/11/09 21:08,5/8/10 16:38,2781067
Insider Trading,5/15/08 10:35,3/21/11 5:08,3468072
Securities Fraud,5/17/07 10:28,2/22/09 22:44,5052621
Securities Fraud,1/15/07 23:03,10/28/11 14:14,5480819
Ponzi Scheme,3/19/11 5:41,2/18/16 1:43,3181018
Ponzi Scheme,11/19/13 6:44,4/19/17 19:01,5037481
Insider Trading,5/1/09 9:10,4/19/14 2:23,6359884
Securities Fraud,4/9/11 8:34,10/14/13 10:13,9918162
Securities Fraud,1/8/14 22:15,9/18/18 0:04,6576431
Insider Trading,10/17/13 13:00,8/22/14 13:41,9779304
Insider Trading,9/7/12 21:45,12/13/17 22:17,5336651
Embezzlement,1/5/10 7:07,7/10/13 11:46,533863
Ponzi Scheme,5/28/07 6:04,1/24/10 16:47,2086394
Insider Trading,10/11/12 23:16,6/8/14 23:45,2779714
Insider Trading,10/31/10 17:02,3/5/14 19:40,5901765
Securities Fraud,12/24/09 13:24,3/8/10 15:01,814809
Insider Trading,4/15/14 9:33,5/3/16 5:33,74408
Securities Fraud,11/22/13 23:17,2/27/14 20:53,5554682
Insider Trading,1/31/10 9:44,8/13/12 9:42,2680268
Ponzi Scheme,6/19/14 6:48,5/5/15 16:38,5414739
Embezzlement,12/6/08 20:51,12/27/13 18:25,516415
Securities Fraud,8/5/08 4:46,10/21/10 6:31,7205549
Ponzi Scheme,2/2/10 22:00,9/30/12 13:39,2743359
Securities Fraud,1/11/14 19:35,1/26/17 10:50,5620209
Embezzlement,10/27/13 18:11,12/30/13 17:36,2870751
Securities Fraud,6/30/12 9:32,12/21/15 17:41,7093368
Securities Fraud,7/8/07 22:28,7/14/08 1:31,1463516
Securities Fraud,2/28/09 19:21,1/22/13 23:57,7148772
Ponzi Scheme,2/7/14 22:18,4/6/18 5:30,3122282
Insider Trading,5/7/14 17:25,9/8/19 18:15,4793528
Ponzi Scheme,11/18/10 1:46,10/7/12 5:39,9459792
Ponzi Scheme,10/2/07 23:25,12/29/11 10:07,5536426
Embezzlement,11/4/11 1:45,2/24/12 22:39,2501492
Insider Trading,9/18/12 14:32,5/12/14 23:50,18783
Embezzlement,1/1/13 3:16,5/4/16 15:10,2365667
Ponzi Scheme,1/31/11 2:26,5/30/16 17:41,9468071
Securities Fraud,11/23/07 23:10,11/23/11 5:21,8763208
Securities Fraud,6/3/11 18:48,5/8/14 5:52,3106058
Securities Fraud,7/2/11 12:58,7/22/15 14:56,9349476
Ponzi Scheme,11/30/14 15:07,3/12/15 6:25,2102528
Insider Trading,11/15/08 17:35,1/2/10 1:11,721471
Insider Trading,2/8/11 7:28,10/11/11 6:29,7080411
Ponzi Scheme,1/1/09 18:25,1/11/11 13:20,6639389
Securities Fraud,12/1/07 17:34,2/4/11 21:22,265719
Insider Trading,10/21/07 21:59,6/9/11 17:14,5485803
Ponzi Scheme,11/6/09 17:46,3/11/13 18:57,267694
Securities Fraud,9/19/09 12:21,5/18/10 7:51,5739531
Insider Trading,2/27/14 21:04,11/19/15 6:35,9730190
Embezzlement,3/10/07 11:30,5/19/12 10:04,7534459
Securities Fraud,9/14/10 23:41,4/14/12 4:30,636525
Insider Trading,9/3/09 9:01,3/13/12 9:07,759659
Ponzi Scheme,11/26/06 2:29,4/14/10 1:29,5835845
Embezzlement,1/26/07 22:27,4/24/09 0:12,1082026
Insider Trading,10/4/12 15:42,10/13/16 13:45,5137809
Embezzlement,7/20/12 18:17,12/16/12 21:45,4498794
Insider Trading,6/2/08 22:49,11/12/12 0:35,4266623
Embezzlement,8/17/10 16:58,1/14/13 10:56,811993
Embezzlement,12/14/06 21:01,5/21/10 12:23,2387382
Ponzi Scheme,4/3/10 21:29,11/28/11 15:10,9912351
Embezzlement,11/12/12 16:36,1/7/15 22:34,7769649
Insider Trading,5/23/07 5:39,4/25/08 22:33,3883414
Insider Trading,12/22/07 12:03,6/4/10 20:29,6488153
Embezzlement,4/1/14 4:29,8/17/17 6:00,9200829
Ponzi Scheme,5/26/09 6:42,5/29/14 23:50,798770
Securities Fraud,6/17/14 21:21,3/26/16 8:20,4512168
Securities Fraud,12/12/12 18:24,12/4/13 3:02,1964970
Securities Fraud,1/7/09 4:54,3/25/11 22:22,2057168
Ponzi Scheme,1/19/10 19:22,6/13/14 21:41,979840
Ponzi Scheme,12/29/12 9:22,8/2/14 3:11,6430706
Insider Trading,8/29/13 7:45,11/10/18 4:19,4394222
Embezzlement,10/15/11 8:48,8/31/15 14:18,3252466
Embezzlement,3/23/12 16:24,10/12/16 12:47,9075874
Insider Trading,1/13/12 7:38,7/6/15 22:11,3949224
Ponzi Scheme,5/11/13 0:11,11/24/14 11:32,7744454
Ponzi Scheme,3/3/13 2:42,9/28/14 4:15,233267
Insider Trading,2/2/08 14:25,9/30/11 12:59,4585738
Securities Fraud,12/13/12 11:46,4/13/15 14:17,7790355
Ponzi Scheme,1/31/12 7:52,2/3/17 22:40,6212760
Embezzlement,9/23/07 3:33,8/21/09 8:46,5602473
Embezzlement,1/22/11 2:00,4/7/14 11:53,4354198
Insider Trading,6/29/08 13:37,5/14/10 3:44,4024343
Embezzlement,7/13/12 5:54,4/7/13 12:06,7610079
Securities Fraud,2/24/13 20:10,4/7/17 7:04,8539605
Insider Trading,5/24/12 0:01,7/28/16 0:26,4372186
Ponzi Scheme,12/25/13 18:41,3/6/15 16:31,1676443
Insider Trading,12/27/10 2:34,5/1/12 5:27,7466013
Ponzi Scheme,7/9/11 0:03,3/31/16 1:46,9822915
Ponzi Scheme,1/12/10 8:49,2/7/15 16:53,3933155
Securities Fraud,12/29/13 18:09,10/7/16 5:58,104641
Securities Fraud,2/1/08 16:15,3/19/09 17:28,4505161
Ponzi Scheme,10/1/09 13:18,10/20/09 14:42,1921673
Securities Fraud,9/6/10 22:39,5/29/12 11:10,5518540
Embezzlement,3/7/11 22:38,7/26/13 4:51,9959690
Embezzlement,12/5/06 4:09,2/13/07 9:13,7082704
Securities Fraud,9/29/13 9:05,4/29/15 22:13,3595383
Securities Fraud,11/24/13 18:34,6/1/16 6:58,3285384
Securities Fraud,10/13/07 21:12,6/1/11 2:10,7614859
Securities Fraud,8/18/10 13:05,10/24/10 7:09,1433670
Insider Trading,7/3/09 23:32,2/3/12 6:24,9335232
Insider Trading,10/13/07 9:55,4/13/08 0:52,5008194
Ponzi Scheme,7/23/08 16:06,7/12/10 7:37,4278235
Embezzlement,2/9/10 18:04,9/7/11 3:52,8603411
Ponzi Scheme,3/10/09 8:50,12/21/13 3:21,2493240
Ponzi Scheme,7/28/10 13:49,7/8/14 15:50,7828233
Embezzlement,10/10/06 18:43,9/17/11 19:24,3518524
Insider Trading,5/21/13 22:24,8/27/13 21:56,8611029
Ponzi Scheme,2/26/10 6:37,7/21/11 11:43,9267511
Ponzi Scheme,3/20/10 5:56,4/18/13 9:30,5140118
Securities Fraud,1/15/10 18:44,6/15/15 19:14,6170047
Ponzi Scheme,5/21/11 16:14,3/16/16 23:17,9179334
Insider Trading,1/9/13 0:49,10/10/13 14:24,8659353
Securities Fraud,1/1/10 10:18,9/18/14 11:45,1330954
Securities Fraud,4/18/14 6:53,9/9/17 14:08,7452057
Ponzi Scheme,10/17/14 9:24,8/10/18 8:24,3584251
Ponzi Scheme,2/26/11 17:14,11/18/14 8:25,9974830
Ponzi Scheme,5/6/10 17:57,8/10/10 12:00,8853992
Insider Trading,7/7/10 11:46,8/12/13 14:20,2561766
Ponzi Scheme,12/8/08 9:41,11/23/13 3:15,9360767
Ponzi Scheme,3/3/10 13:56,7/24/12 20:26,8212817
Embezzlement,6/12/08 21:59,10/25/09 7:30,4078230
Ponzi Scheme,7/30/08 18:33,10/3/11 13:55,7774512
Insider Trading,5/11/12 15:55,10/25/15 4:06,8207001
Securities Fraud,7/30/09 20:59,11/16/11 6:50,308425
Ponzi Scheme,7/17/14 7:17,8/26/15 4:51,8724517
Embezzlement,8/22/09 2:28,1/5/13 13:15,4088162
Insider Trading,5/8/09 7:25,9/7/13 19:57,6029107
Ponzi Scheme,6/11/09 0:18,10/25/10 4:52,5049551
Embezzlement,10/19/09 13:05,4/25/10 20:45,4624497
Ponzi Scheme,5/23/14 10:42,5/27/14 12:38,3272309
Embezzlement,5/5/10 6:07,7/28/12 20:09,4381953
Insider Trading,6/2/08 2:08,3/11/11 22:49,3894190
Ponzi Scheme,11/30/06 6:00,9/29/08 6:45,4621979
Embezzlement,5/18/08 6:29,5/30/08 4:20,2009577
Embezzlement,10/17/06 9:02,11/17/11 9:04,3443413
Embezzlement,2/4/07 9:16,2/26/09 22:54,4060898
Securities Fraud,3/1/14 2:36,5/12/16 13:36,112496
Embezzlement,6/18/10 1:58,8/21/12 0:43,7696079
Insider Trading,10/5/13 12:27,8/27/17 11:24,4267618
Insider Trading,8/17/09 20:18,8/2/12 1:00,7772891
Insider Trading,4/6/11 1:17,11/16/11 7:49,1397490
Insider Trading,5/9/09 23:15,6/16/11 18:47,6452626
Embezzlement,8/21/11 12:10,4/11/13 11:15,4270832
Securities Fraud,5/27/10 10:25,6/19/10 20:07,8563413
Ponzi Scheme,11/27/06 22:42,3/25/07 4:14,6529359
Embezzlement,12/20/12 16:35,4/14/13 18:24,9550600
Insider Trading,10/14/13 16:10,2/1/18 7:11,5210247
Insider Trading,3/10/13 4:35,7/18/17 20:12,7072192
Securities Fraud,1/12/10 12:05,6/24/12 5:48,4817487
Embezzlement,10/16/08 5:25,5/10/10 3:48,719570
Embezzlement,5/13/12 10:18,12/6/15 0:34,1678053
Ponzi Scheme,6/28/14 6:21,1/15/15 17:52,8016636
Embezzlement,6/20/09 13:09,10/11/12 14:50,8556874
Insider Trading,7/16/11 17:41,4/2/14 15:23,7859276
Ponzi Scheme,7/14/10 16:28,3/22/12 21:44,6979351
Ponzi Scheme,12/2/08 15:55,7/2/09 17:54,2431509
Insider Trading,2/7/10 16:25,12/8/13 22:32,3095286
Embezzlement,6/19/14 1:10,12/4/15 16:12,4765374
Ponzi Scheme,9/30/09 1:04,6/27/11 2:52,4352254
Embezzlement,9/7/10 10:22,1/24/11 3:35,3176218
Ponzi Scheme,11/7/08 20:06,10/17/09 19:48,4796172
Insider Trading,12/1/11 0:25,11/7/12 19:48,2448719
Embezzlement,3/25/12 18:41,1/10/14 22:03,7067658
Insider Trading,5/7/12 12:42,2/17/17 12:52,9391617
Securities Fraud,1/21/13 3:34,7/20/16 1:54,4040500
Embezzlement,4/28/14 20:21,11/9/16 3:04,5307307
Ponzi Scheme,4/29/08 9:07,5/10/12 2:01,951891
Embezzlement,6/2/07 9:24,2/3/08 12:05,328035
Ponzi Scheme,12/21/08 9:30,5/9/13 1:24,5112247
Embezzlement,10/20/09 19:45,8/1/10 14:30,3829161
Securities Fraud,7/27/10 4:36,7/25/12 22:37,8060606
Securities Fraud,8/1/08 16:41,2/21/11 2:31,410424
Embezzlement,11/6/13 5:21,11/10/16 13:00,9820448
Ponzi Scheme,6/15/14 11:33,10/24/14 12:50,7645509
Embezzlement,9/23/08 9:30,4/26/09 13:15,2426057
Securities Fraud,12/1/10 23:41,2/21/13 17:06,6857052
Embezzlement,6/11/13 21:54,12/15/13 22:12,9824446
Insider Trading,12/15/14 3:35,1/16/15 14:44,4422168
Securities Fraud,5/19/11 21:57,6/14/16 22:59,7283622
Embezzlement,8/8/11 20:26,4/21/16 7:03,3718517
Ponzi Scheme,1/8/10 22:30,11/26/12 2:38,114384
Ponzi Scheme,10/13/12 5:19,11/23/16 0:13,6316773
Securities Fraud,6/18/14 11:53,8/16/14 2:07,9917135
Insider Trading,9/22/10 15:12,6/10/11 6:03,6950202
Embezzlement,5/24/12 11:31,7/14/15 23:58,7218317
Ponzi Scheme,8/10/09 4:17,9/20/14 1:20,5316076
Embezzlement,12/7/13 8:10,12/13/14 0:54,8920453
Embezzlement,3/9/09 7:54,1/16/10 9:52,4606058
Securities Fraud,4/19/09 9:55,6/8/09 7:07,1769679
Insider Trading,2/13/11 12:05,3/17/15 3:35,6536046
Insider Trading,5/13/13 13:04,5/25/16 6:12,6407015
Ponzi Scheme,4/22/10 20:12,5/12/10 11:59,1148534
Ponzi Scheme,8/11/08 20:08,4/14/13 14:07,3727892
Insider Trading,10/23/11 22:11,8/2/15 8:36,3812111
Ponzi Scheme,5/2/11 8:56,2/8/14 3:40,8284278
Securities Fraud,5/14/11 5:55,12/14/14 16:24,3327671
Insider Trading,7/22/12 0:18,10/31/13 20:52,416263
Ponzi Scheme,9/28/12 18:32,2/16/13 10:36,9949481
Securities Fraud,5/5/09 12:10,12/17/09 4:59,8885859
Insider Trading,9/3/08 14:50,12/18/12 23:48,1510413
Insider Trading,6/12/10 17:32,2/26/13 2:56,7364214
Embezzlement,6/25/08 15:15,7/19/12 16:04,8337516
Ponzi Scheme,6/23/07 4:33,6/13/10 8:57,856810
Insider Trading,2/12/10 20:56,4/30/13 16:50,3568513
Embezzlement,4/21/11 5:29,11/19/12 2:02,5776437
Embezzlement,9/28/10 17:01,5/12/11 10:34,615688
Insider Trading,11/3/08 14:11,9/20/11 3:41,2574585
Insider Trading,12/6/12 21:04,3/7/16 1:18,4242727
Insider Trading,1/22/10 21:59,1/16/12 10:48,5596050
Embezzlement,11/26/13 12:36,3/5/15 13:29,4816115
Embezzlement,12/12/14 11:08,12/21/18 17:02,9015866
Insider Trading,5/28/07 22:31,1/4/10 10:13,5401726
Insider Trading,5/22/07 14:58,2/28/09 17:25,2312157
Securities Fraud,12/27/06 5:42,6/30/10 12:40,6673364
Securities Fraud,8/11/09 0:45,8/17/10 22:48,1208037
Ponzi Scheme,12/1/09 0:26,11/2/14 23:58,7501921
Ponzi Scheme,1/31/07 0:18,8/11/08 11:55,6287726
Insider Trading,9/5/08 2:19,5/5/12 6:11,8371734
Embezzlement,3/21/10 14:51,11/7/10 14:15,3715117
Insider Trading,5/29/09 22:12,11/24/12 22:33,1114717
Embezzlement,10/1/08 1:47,4/25/11 1:01,9760181
Insider Trading,5/18/12 13:18,8/16/17 14:28,8814508
Embezzlement,10/13/09 12:00,5/12/14 4:46,87454
Insider Trading,12/23/12 4:41,9/28/14 21:19,8807057
Ponzi Scheme,6/20/14 5:12,10/15/16 3:56,1779710
Securities Fraud,9/24/13 0:04,3/6/17 10:34,7277784
Securities Fraud,9/26/08 0:13,2/15/13 11:15,3967458
Ponzi Scheme,2/17/14 7:34,3/27/15 13:31,5725571
Insider Trading,5/13/10 18:18,9/5/12 15:26,9534324
Ponzi Scheme,7/30/07 21:05,7/31/12 6:37,5017987
Embezzlement,11/8/08 6:08,5/14/11 4:13,9404545
Embezzlement,1/1/12 9:49,9/16/16 4:02,614841
Ponzi Scheme,9/4/14 3:14,3/8/15 15:32,9733086
Securities Fraud,4/24/09 7:02,5/15/12 4:53,4128770
Ponzi Scheme,2/17/13 18:31,1/13/18 13:34,9431526
Embezzlement,10/21/13 16:48,5/1/14 18:13,3565320
Insider Trading,11/22/13 8:22,3/11/15 18:00,8421417
Insider Trading,10/28/08 17:34,5/29/11 1:34,358170
Securities Fraud,7/29/08 22:47,6/15/13 12:34,7737185
Ponzi Scheme,7/18/09 11:46,8/7/11 18:12,3408249
Securities Fraud,10/24/06 14:39,1/8/07 20:37,8506771
Securities Fraud,5/10/13 4:26,10/25/18 4:27,9813160
Embezzlement,9/4/14 8:36,6/24/16 9:12,9801679
Embezzlement,8/28/12 0:48,8/26/15 11:38,8842202
Securities Fraud,3/24/10 21:53,1/15/15 3:13,5065888
Insider Trading,10/25/08 15:14,2/23/14 18:30,3565238
Insider Trading,6/21/11 15:47,4/16/12 12:27,2091507
Insider Trading,3/7/13 13:13,7/8/16 14:09,5188343
Insider Trading,11/2/06 22:10,8/31/07 13:37,8099556
Insider Trading,9/1/14 8:20,8/11/17 16:33,8713805
Embezzlement,4/1/07 16:46,7/27/11 12:08,6068726
Securities Fraud,2/22/13 1:50,9/22/13 3:58,461771
Embezzlement,7/23/12 6:31,1/5/14 22:56,4454956
Embezzlement,9/25/07 18:54,3/22/12 3:45,2167286
Insider Trading,10/5/14 11:03,3/10/15 21:29,353143
Securities Fraud,11/19/07 16:55,7/26/09 10:07,8148185
Securities Fraud,1/28/10 2:52,3/7/13 19:55,1302723
Insider Trading,11/26/10 20:05,3/9/13 21:56,8378156
Embezzlement,9/2/12 23:13,9/8/14 23:23,6802804
Insider Trading,8/12/10 19:04,4/30/14 22:52,8303212
Embezzlement,5/8/08 18:24,12/20/11 1:05,1373254
Ponzi Scheme,10/26/12 19:23,3/12/13 2:44,5034625
Embezzlement,5/12/10 14:44,10/10/12 11:34,765324
Embezzlement,2/1/12 5:42,3/28/12 5:40,772225
Insider Trading,12/16/08 11:30,3/28/12 13:44,1837315
Securities Fraud,10/2/10 15:54,11/27/10 23:08,9458404
Embezzlement,5/4/09 3:45,12/6/13 16:42,2199368
Securities Fraud,9/5/11 13:48,5/22/14 3:06,1193880
Ponzi Scheme,12/2/14 22:55,5/9/18 19:05,1069081
Embezzlement,4/25/12 16:01,3/28/16 6:15,4285971
Embezzlement,4/21/10 19:54,2/24/12 17:50,8023468
Ponzi Scheme,8/7/08 2:06,11/27/08 3:04,1215598
Ponzi Scheme,2/2/13 22:33,4/18/13 8:00,3607421
Embezzlement,6/17/14 21:20,12/17/15 21:13,6228196
Securities Fraud,11/8/06 14:18,1/3/11 23:51,4845998
Insider Trading,5/15/07 14:57,7/13/12 12:20,7733547
Insider Trading,1/5/11 4:52,8/5/11 20:29,795107
Insider Trading,7/11/14 1:16,5/18/18 0:43,4717036
Securities Fraud,11/5/06 17:30,5/12/07 11:00,5032439
Embezzlement,1/21/14 13:33,10/27/14 19:19,1766948
Embezzlement,11/10/10 19:55,4/2/15 18:42,3825074
Ponzi Scheme,10/16/11 10:58,6/12/15 22:04,9595535
Insider Trading,10/17/13 6:41,4/30/18 6:20,1378711
Securities Fraud,11/1/07 10:09,11/26/07 19:07,9479910
Insider Trading,3/7/09 20:28,11/30/10 19:55,4843420
Securities Fraud,7/5/08 4:16,5/23/13 8:58,9477575
Securities Fraud,6/14/10 20:38,5/8/15 5:34,6376286
Ponzi Scheme,10/30/09 2:44,2/24/13 1:49,9733320
Insider Trading,6/12/11 3:51,9/29/12 1:41,442233
Securities Fraud,6/22/12 15:36,1/10/16 3:53,7688622
Ponzi Scheme,2/7/08 22:37,9/17/09 17:14,7406050
Embezzlement,2/1/11 16:48,7/21/12 18:49,7275917
Ponzi Scheme,8/30/10 2:49,1/15/11 8:55,6267022
Ponzi Scheme,6/15/11 1:18,3/13/14 21:46,57958
Ponzi Scheme,2/20/14 22:01,8/8/16 9:43,8750748
Insider Trading,5/7/13 3:29,3/3/17 12:22,1396373
Ponzi Scheme,3/26/13 15:08,3/26/16 7:31,2781171
Insider Trading,7/10/08 19:38,9/6/09 6:45,8046197
Insider Trading,7/31/07 2:41,1/17/10 15:14,8401876
Insider Trading,2/5/11 10:47,11/16/15 9:23,4664771
Ponzi Scheme,10/20/07 8:14,5/4/09 2:15,6914165
Insider Trading,3/6/07 20:22,3/2/09 11:30,2701728
Securities Fraud,4/12/11 14:45,1/17/15 23:58,1426424
Insider Trading,10/12/12 1:14,4/19/17 3:10,8513401
Embezzlement,5/6/11 7:50,8/6/13 18:06,1983266
Embezzlement,12/14/10 18:32,5/1/12 0:26,9410094
Insider Trading,9/13/12 4:23,5/29/17 12:49,3997486
Embezzlement,2/12/12 8:52,2/15/17 1:51,2542704
Securities Fraud,11/20/11 23:10,10/27/13 23:34,212045
Insider Trading,9/26/13 16:55,3/5/15 20:08,5001486
Ponzi Scheme,12/5/09 21:24,10/29/14 8:15,6314107
Securities Fraud,10/13/12 9:23,7/4/17 23:02,4304890
Ponzi Scheme,12/31/13 22:05,5/12/17 8:31,569720
Securities Fraud,4/25/13 8:48,4/22/17 23:14,1082091
Ponzi Scheme,3/27/13 21:51,7/11/14 23:45,6579420
Insider Trading,4/15/08 15:06,2/27/10 0:37,1499874
Insider Trading,8/20/08 7:41,1/10/11 1:35,6114239
Embezzlement,5/21/13 0:16,8/20/17 11:24,9030388
Embezzlement,2/7/13 1:18,11/10/13 13:58,213534
Securities Fraud,5/11/13 21:44,5/13/16 5:52,8957599
Ponzi Scheme,11/15/14 12:09,4/19/18 11:56,3666255
Insider Trading,3/29/10 23:51,10/29/13 13:04,5165894
Ponzi Scheme,6/30/12 12:54,8/30/15 21:19,5383157
Insider Trading,2/20/07 7:09,9/11/08 2:03,3600115
Securities Fraud,12/30/07 17:14,6/7/12 4:50,7755214
Embezzlement,5/24/12 7:55,8/1/17 7:45,3394413
Ponzi Scheme,4/3/07 3:38,4/8/10 9:28,4638457
Ponzi Scheme,9/7/13 17:29,7/11/18 16:43,4300407
Embezzlement,12/1/06 23:41,5/12/12 19:47,7281699
Embezzlement,10/11/11 23:00,2/21/16 16:08,2512281
Ponzi Scheme,5/9/10 8:13,4/19/11 8:14,7701692
Insider Trading,4/5/08 9:55,9/4/10 9:57,6425544
Securities Fraud,12/5/14 5:41,10/11/16 3:15,3650161
Ponzi Scheme,1/4/12 21:29,12/25/13 4:52,6071871
Ponzi Scheme,7/26/12 5:03,6/30/15 13:26,6883357
Securities Fraud,8/12/14 19:24,10/16/17 11:24,8541013
Embezzlement,4/13/13 13:10,9/21/14 19:49,8359682
Embezzlement,3/21/08 12:33,11/7/09 9:14,8488825
Insider Trading,11/28/10 22:05,6/10/14 23:42,5709427
Embezzlement,6/10/10 22:20,9/20/11 6:55,7708841
Embezzlement,6/10/14 16:48,1/2/19 7:13,2204973
Insider Trading,12/27/10 21:14,1/11/12 3:18,1497124
Embezzlement,5/15/13 22:03,12/8/17 11:45,6359647
Insider Trading,9/28/10 21:13,7/16/11 5:15,415161
Securities Fraud,3/25/07 9:45,1/5/10 20:14,3035985
Insider Trading,6/11/07 7:24,1/9/12 10:53,2903633
Embezzlement,5/29/07 13:22,1/13/08 21:30,5842888
Securities Fraud,6/25/08 14:40,10/9/12 17:38,8150498
Securities Fraud,7/19/11 3:31,5/16/14 0:14,8483693
Embezzlement,9/21/09 20:46,1/24/14 4:34,1886778
Embezzlement,5/9/08 10:53,11/17/08 0:14,2209549
Ponzi Scheme,12/4/10 16:12,9/3/13 16:02,9373434
Ponzi Scheme,1/31/09 10:51,2/1/11 9:36,692092
Ponzi Scheme,12/20/11 22:47,4/11/16 6:26,7285340
Embezzlement,12/23/09 21:48,12/2/11 16:14,8192263
Ponzi Scheme,5/7/12 21:46,7/16/15 2:15,3079567
Insider Trading,5/29/07 19:42,1/10/10 6:52,4955965
Ponzi Scheme,10/14/09 11:19,1/12/12 21:08,6255798
Ponzi Scheme,7/7/08 3:09,5/11/13 15:01,6641776
Ponzi Scheme,5/26/07 1:53,10/12/11 9:34,7637196
Insider Trading,10/26/11 3:44,7/17/16 18:32,6118281
Insider Trading,10/27/11 9:57,12/26/16 3:04,7610444
Ponzi Scheme,3/1/12 20:13,8/3/14 6:12,4698715
Ponzi Scheme,10/29/08 22:02,8/16/11 12:51,2496720
Insider Trading,9/19/07 15:12,6/7/10 11:25,3487222
Ponzi Scheme,10/15/09 7:35,12/17/09 0:32,7935739
Insider Trading,5/23/11 11:26,8/10/13 18:10,8890984
Ponzi Scheme,9/3/12 18:46,9/13/17 14:07,2154994
Ponzi Scheme,1/27/12 18:07,6/15/16 13:47,4230597
Insider Trading,9/22/09 11:49,1/7/13 17:02,6737276
Ponzi Scheme,4/21/11 19:18,11/16/14 10:02,1397507
Insider Trading,6/23/07 5:28,8/28/10 9:33,65435
Ponzi Scheme,7/22/07 12:11,8/14/11 19:17,11251
Embezzlement,4/9/07 1:43,6/6/07 1:29,4838754
Securities Fraud,6/28/11 23:23,1/20/13 19:38,7747430
Ponzi Scheme,8/5/08 16:13,2/13/12 6:30,514718
